LINUX_SYSCALLS.INC,assembly,61440,2048,10240,30720,92160,51200
IO.INC,assembly,61440,4096,20480,61440,184320,51200
MACRO.INC,assembly,102400,6144,30720,92160,276480,51200
FONTAWESOME.MIN.CSS,HTML,122880,6144,30720,92160,276480,51200
TAILWIND.MIN.CSS,HTML,143360,8192,40960,102400,307200,51200
BOOTSTRAP.MIN.CSS,HTML,163840,10240,51200,153600,460800,102400
SYS,PYTHON,184320,10240,51200,153600,460800,102400
OS,PYTHON,184320,12288,61440,184320,552960,102400
MATH,PYTHON,204800,14336,71680,204800,563200,102400
IEEE_ARITHMETIC,FORTRAN,225280,14336,71680,204800,563200,102400
ISO_C_BINDING,FORTRAN,245760,16384,81920,225280,614400,102400
ISO_FORTRAN_ENV,FORTRAN,266240,18432,92160,256000,716800,153600
JAVA.UTIL,JAVA,286720,18432,92160,256000,716800,153600
JAVA.NET,JAVA,307200,20480,102400,307200,768000,153600
JAVA.IO,JAVA,307200,22528,112640,337920,819200,153600
INTERFACES.C,ADA,327680,22528,112640,337920,819200,153600
ADA.INTEGER_TEXT_IO,ADA,358400,24576,122880,368640,870400,153600
ADA.TEXT_IO,ADA,358400,26624,133120,399360,921600,204800
STRING,CPP,389120,26624,133120,399360,921600,204800
IOSTREAM,CPP,409600,28672,153600,460800,1024000,204800
BITS/STDC++.H,CPP,430080,35840,179200,512000,1126400,204800
STDLIB.H,C,466944,35840,179200,512000,1126400,204800
STDIO.H,C,1048576,51200,204800,614400,1433600,204800
